id prodotto;id colore;id taglia;Giacenza;EAN13
1040663;1082304;1003398;1;8055161296269
1040663;1082304;1003404;1;8055161296320
1040663;1082302;1003369;1;8055161301666
1040663;1082302;1003398;1;8055161301680
1040663;1082302;1003400;2;8055161301703
1040663;1082302;1003402;2;8055161301727
1040663;1082302;1003404;1;8055161301741
1040663;1082302;1003406;1;8055161301765
1040662;1083124;1003367;1;8055161450340
1040662;1083124;1003369;2;8055161450357
1040662;1083124;1003398;5;8055161450371
1040662;1083124;1003399;2;8055161450388
1040662;1083124;1003400;6;8055161450395
1040662;1083124;1003401;2;8055161450401
1040662;1083124;1003402;6;8055161450418
1040662;1083124;1003403;2;8055161450425
1040662;1083124;1003404;4;8055161450432
1040662;1083124;1003406;2;8055161450449
1040662;1083124;1003408;1;8055161450456
1040661;1082296;1003398;2;8055161261052
1040661;1082296;1003399;1;8055161261069
1040661;1082296;1003400;3;8055161261076
1040661;1082296;1003401;1;8055161261083
1040661;1082296;1003402;3;8055161261090
1040661;1082296;1003403;1;8055161261106
1040661;1082296;1003404;1;8055161261113
1040661;1082296;1003406;1;8055161261137
1040661;1082296;1003408;1;8055161261151
1040661;1082297;1003369;2;8055161289681
1040661;1082297;1003399;1;8055161289711
1040661;1082297;1003400;4;8055161289728
1040661;1082297;1003402;4;8055161289742
1040661;1082297;1003403;1;8055161289759
1040661;1082297;1003404;2;8055161289766
1040661;1082297;1003406;2;8055161289780
1040661;1082297;1003408;1;8055161289803
1040661;1082298;1003369;1;8055161256409
1040661;1082298;1003398;2;8055161256423
1040661;1082298;1003399;1;8055161256430
1040661;1082298;1003400;3;8055161256447
1040661;1082298;1003401;1;8055161256454
1040661;1082298;1003402;2;8055161256461
1040661;1082298;1003404;1;8055161256485
1040661;1082298;1003406;1;8055161256508
1040661;1082295;1003369;1;8055161295835
1040661;1082295;1003398;2;8055161295859
1040661;1082295;1003399;1;8055161295866
1040661;1082295;1003400;3;8055161295873
1040661;1082295;1003401;1;8055161295880
1040661;1082295;1003402;3;8055161295897
1040661;1082295;1003403;1;8055161295903
1040661;1082295;1003406;1;8055161295934
1040691;1082427;1003367;1;8055161298591
1040691;1082427;1003369;1;8055161298607
1040691;1082427;1003398;3;8055161298614
1040691;1082427;1003400;4;8055161298638
1040691;1082427;1003402;2;8055161298652
1040691;1082427;1003404;2;8055161298676
1040691;1082427;1003406;1;8055161298690
1040691;1082427;1003408;1;8055161298713
1040691;1082426;1003367;1;8055161265098
1040691;1082426;1003369;1;8055161265104
1040691;1082426;1003398;4;8055161265111
1040691;1082426;1003400;6;8055161265135
1040691;1082426;1003402;6;8055161265159
1040691;1082426;1003404;3;8055161265173
1040691;1082426;1003406;2;8055161265197
1040691;1082426;1003408;1;8055161265210
1040698;1082455;1003367;1;8055161262035
1040698;1082455;1003369;1;8055161262042
1040698;1082455;1003398;4;8055161262059
1040698;1082455;1003400;6;8055161262073
1040698;1082455;1003402;6;8055161262097
1040698;1082455;1003404;3;8055161262110
1040698;1082455;1003406;2;8055161262134
1040698;1082455;1003408;1;8055161262158
1040698;1082458;1003369;1;8055161301277
1040698;1082458;1003398;2;8055161301284
1040698;1082458;1003400;4;8055161301307
